perturbation,e_distance
CDKN1C_CDKN1B,2.2733187121645084
KLF1_TGFBR2,2.2595760028378944
FOXA3_FOXF1,2.253421129016255
IGDCC3,2.2345839000811676
FOXA1_FOXF1,2.2278928139557674
CNN1,2.2242444744331653
MIDN,2.184163999604264
CDKN1B_CDKN1A,2.1749235212979094
C3orf72_FOXL2,2.1415536174039236
CBL_PTPN9,2.1225552646803028
IGDCC3_MAPK1,2.05189868810038
ETS2_IGDCC3,2.041389064167058
CNN1_MAPK1,2.0092021266469615
KLF1,1.9936925103607575
KLF1_BAK1,1.9411665149143555
CEBPE_KLF1,1.9408946149010067
CBL_UBASH3A,1.8763116974358116
PTPN1,1.8611614652502233
POU3F2_CBFA2T3,1.858114215916201
ARID1A,1.8509800498389026
SAMD1_TGFBR2,1.8181516569787597
ETS2,1.8163457729695658
KLF1_MAP2K6,1.8098835990835749
CBL_TGFBR2,1.7735847709797437
ZBTB1,1.7718389123482847
TGFBR2_C19orf26,1.721448737854514
TBX2,1.7194997795874247
ETS2_CNN1,1.710558838161882
DUSP9_MAPK1,1.6910130787798074
FOSB,1.5976069265010828
IER5L,1.5840109883678153
NIT1,1.5600100414118767
MAP2K6_SPI1,1.5115554280253924
HNF4A,1.4775246599539074
CDKN1C,1.475197613276821
CDKN1A,1.4435257677014501
PLK4_STIL,1.439437438695217
JUN,1.384881261686047
DLX2,1.3817200894667927
UBASH3B_OSR2,1.3771093963514058
PTPN12_OSR2,1.3732338587850084
FOXO4,1.3658327360150082
C3orf72,1.3537304852841991
FOXL2,1.322169043124978
CEBPE_PTPN12,1.3205217130743776
SGK1,1.3060077895161566
TGFBR2_ETS2,1.2555647611921348
CKS1B,1.2457409373700834
MAP2K3_ELMSAN1,1.2349387059107872
BPGM,1.225622873920777
ZNF318_FOXL2,1.203166363995022
SAMD1,1.1478063348425938
CDKN1B,1.1298214769777548
ZC3HAV1_HOXC13,1.1204018454041513
ZC3HAV1_CEBPE,1.089653745037836
PTPN13,1.0748436484560724
PTPN12_SNAI1,1.0444223564596165
CITED1,1.010244209648711
FOXA3,0.9659163338032677
SNAI1,0.9626527769456406
CELF2,0.9584588464784112
PTPN12,0.950663119542769
FOSB_PTPN12,0.8926156036694639
HOXB9,0.8564544508485863
UBASH3B_UBASH3A,0.8372822229414485
SNAI1_UBASH3B,0.8186919277489562
CBL,0.7887378984441948
POU3F2,0.7482889599236042
FOXA1,0.7040912349710631
GLB1L2,0.7035693712340869
FOSB_UBASH3B,0.6968100041225682
MAP2K6_ELMSAN1,0.6946349162023928
MAP2K3_SLC38A2,0.6556439293994121
CBFA2T3,0.6549814112488885
ZBTB25,0.6108914487221924
SLC6A9,0.6056937846990547
MAP2K3,0.6001030485470036
MAP2K3_MAP2K6,0.5626261901281637
RREB1,0.5500887069190021
PTPN9,0.5387969097865888
C19orf26,0.5338273375083453
EGR1,0.5284097380674915
UBASH3B,0.4812942004416296
KIF18B_KIF2C,0.4774636533316752
KIAA1804,0.40898560820107654
TMSB4X_BAK1,0.39408044954405774
TMSB4X,0.3877121230562963
ELMSAN1,0.3752755126230696
TSC22D1,0.35457756376925076
LYL1,0.32924098798277335
MEIS1,0.3274179448501595
CNNM4,0.3202039609902485
BCL2L11_TGFBR2,0.3175456848006082
KMT2A,0.30876571082707294
FOXF1,0.29947408840783396
PLK4,0.29406038254661304
RUNX1T1,0.28651855947248706
CSRNP1,0.2854937027235902
KIF18B,0.28287470903501344
ZC3HAV1,0.2734165145155796
MAP4K5,0.25988837331238557
STIL,0.2590035471123908
MAP2K6,0.2578955587833711
ARRDC3,0.25683208517992995
BCORL1,0.256184162469264
HK2,0.2509069245094011
UBASH3A,0.24426521945738067
MAP7D1,0.22377432828885624
NCL,0.2162629020706177
SLC38A2,0.2140554943006574
KIF2C,0.19803450979256176
ZNF318,0.18677910567856415
ISL2,0.1863004502585639
MAP4K3,0.18382510399673357
BCL2L11_BAK1,0.1777437175736285
TGFBR2,0.14564360657129427
BAK1,0.14492864824112317
MAML2,0.1404761257048559
BCL2L11,0.0701903905624075
